HomeTeam,AwayTeam,FTHG,FTAG
Niger,Tanzania,1,1
Algeria,Uganda,2,0
Gambia,South Sudan,1,0
Mali,Congo,4,0
Mauritania,Sudan,3,0
DR Congo,Gabon,0,1
Senegal,Benin,3,1
Suriname,Jamaica,1,1
El Salvador,Grenada,3,1
Bermuda,Haiti,0,0
Montserrat,Guyana,1,2
Hungary,England,1,0
Italy,Germany,1,1
Armenia,Republic of Ireland,1,0
Finland,Bosnia and Herzegovina,1,1
Montenegro,Romania,2,0
Lithuania,Luxembourg,0,2
Turkey,Faroe Islands,4,0
Wales,Ukraine,1,0
Malawi,Ethiopia,2,1
Egypt,Guinea,1,0
Central African Republic,Ghana,1,1
Madagascar,Angola,1,1
Botswana,Tunisia,0,0
Costa Rica,Martinique,2,0
Cuba,Barbados,3,0
Antigua and Barbuda,Guadeloupe,1,0
Guatemala,Belize,2,0
Dominican Republic,French Guiana,2,3
Dominica,Anguilla,1,1
Portugal,Switzerland,4,0
Czech Republic,Spain,2,2
Serbia,Slovenia,4,1
Sweden,Norway,1,2
Cyprus,Northern Ireland,0,0
Kosovo,Greece,0,1
Gibraltar,North Macedonia,0,2
Bulgaria,Georgia,2,5
San Marino,Malta,0,2
Argentina,Estonia,5,0
Mexico,Ecuador,0,0
Peru,New Zealand,1,0
Saudi Arabia,Colombia,0,1
United States,Uruguay,0,0
Equatorial Guinea,Libya,2,0
Honduras,Curaçao,1,2
Saint Vincent and the Grenadines,Nicaragua,2,2
Trinidad and Tobago,Bahamas,1,0
Bonaire,Sint Maarten,2,2
United States Virgin Islands,Turks and Caicos Islands,3,2
Aruba,Saint Martin,3,0
Cayman Islands,British Virgin Islands,1,1
Austria,Denmark,1,2
Croatia,France,1,1
Iceland,Albania,1,1
Belarus,Azerbaijan,0,0
Slovakia,Kazakhstan,0,1
Latvia,Liechtenstein,1,0
Andorra,Moldova,0,0
South Korea,Chile,2,0
Japan,Brazil,0,1
Eswatini,Burkina Faso,1,3
Cape Verde,Togo,2,0
Zambia,Comoros,2,1
Senegal,Rwanda,1,0
Jamaica,Suriname,3,1
Grenada,El Salvador,2,2
Guyana,Bermuda,2,1
Haiti,Montserrat,3,2
Germany,England,1,1
Italy,Hungary,2,1
Finland,Montenegro,2,0
Bosnia and Herzegovina,Romania,1,0
Faroe Islands,Luxembourg,0,1
Lithuania,Turkey,0,6
United Arab Emirates,Australia,1,2
Kuwait,Indonesia,1,2
Jordan,Nepal,2,0
Philippines,Yemen,0,0
Mongolia,Palestine,0,1
Thailand,Maldives,3,0
Uzbekistan,Sri Lanka,3,0
Hong Kong,Afghanistan,2,1
India,Cambodia,2,0
Bahrain,Bangladesh,2,0
Malaysia,Turkmenistan,3,1
Tajikistan,Myanmar,4,0
Kyrgyzstan,Singapore,2,1
Uganda,Niger,1,1
Tanzania,Algeria,0,2
Congo,Gambia,1,0
Gabon,Mauritania,0,0
Sudan,DR Congo,2,1
Benin,Mozambique,0,1
Wales,Netherlands,1,2
Belgium,Poland,6,1
Republic of Ireland,Ukraine,0,1
Scotland,Armenia,2,0
Guinea-Bissau,São Tomé and Príncipe,5,1
Nigeria,Sierra Leone,2,1
Burundi,Cameroon,0,1
Ethiopia,Egypt,2,0
Guinea,Malawi,1,0
South Sudan,Mali,1,3
Lesotho,Ivory Coast,0,0
Morocco,South Africa,2,1
Panama,Martinique,5,0
Canada,Curaçao,4,0
Barbados,Guadeloupe,0,1
Antigua and Barbuda,Cuba,0,2
Belize,French Guiana,1,1
Aruba,Saint Kitts and Nevis,2,3
Dominica,Saint Lucia,0,1
Cayman Islands,Puerto Rico,0,3
Portugal,Czech Republic,2,0
Switzerland,Spain,0,1
Norway,Slovenia,0,0
Sweden,Serbia,0,1
Kosovo,Northern Ireland,3,2
Greece,Cyprus,3,0
Gibraltar,Bulgaria,1,1
North Macedonia,Georgia,0,3
Malta,Estonia,1,2
New Zealand,Oman,0,0
San Marino,Iceland,0,1
Saudi Arabia,Venezuela,0,1
United States,Grenada,5,0
Saint Vincent and the Grenadines,Trinidad and Tobago,0,2
Bahamas,Nicaragua,0,2
Dominican Republic,Guatemala,1,1
Austria,France,1,1
Denmark,Croatia,0,1
Albania,Israel,1,2
Azerbaijan,Slovakia,0,1
Belarus,Kazakhstan,1,1
Moldova,Latvia,2,4
Andorra,Liechtenstein,2,1
South Korea,Paraguay,2,2
Chile,Tunisia,0,2
Japan,Ghana,4,1
Kuwait,Nepal,4,1
Indonesia,Jordan,0,1
Mongolia,Philippines,0,1
Yemen,Palestine,0,5
Sri Lanka,Thailand,0,2
Uzbekistan,Maldives,4,0
Cambodia,Hong Kong,0,3
India,Afghanistan,2,1
Bangladesh,Turkmenistan,1,2
Malaysia,Bahrain,1,2
Singapore,Tajikistan,0,1
Kyrgyzstan,Myanmar,2,0
Mexico,Suriname,3,0
Guyana,Haiti,2,6
Montserrat,Bermuda,3,2
United States Virgin Islands,Bonaire,0,2
Sint Maarten,Turks and Caicos Islands,8,2
England,Italy,0,0
Hungary,Germany,1,1
Wales,Belgium,1,1
Netherlands,Poland,2,2
Ukraine,Armenia,3,0
Republic of Ireland,Scotland,3,0
Montenegro,Bosnia and Herzegovina,1,1
Romania,Finland,1,0
Faroe Islands,Lithuania,2,1
Luxembourg,Turkey,0,2
Ecuador,Cape Verde,1,0
Uruguay,Panama,5,0
Martinique,Panama,0,0
Cuba,Antigua and Barbuda,3,1
Guadeloupe,Barbados,2,1
Saint Kitts and Nevis,Saint Martin,1,1
Saint Lucia,Anguilla,2,0
Puerto Rico,British Virgin Islands,6,0
Spain,Czech Republic,2,0
Switzerland,Portugal,1,0
Norway,Sweden,3,2
Slovenia,Serbia,2,2
Northern Ireland,Cyprus,2,2
Greece,Kosovo,2,0
North Macedonia,Gibraltar,4,0
Georgia,Bulgaria,0,0
Malta,San Marino,1,0
Iran,Algeria,1,2
Australia,Peru,0,0
São Tomé and Príncipe,Nigeria,0,10
Sierra Leone,Guinea-Bissau,2,2
Morocco,Liberia,2,0
Honduras,Canada,2,1
Nicaragua,Bahamas,4,0
Trinidad and Tobago,Saint Vincent and the Grenadines,4,1
Guatemala,Dominican Republic,2,0
Denmark,Austria,2,0
France,Croatia,0,1
Iceland,Israel,2,2
Azerbaijan,Belarus,2,0
Kazakhstan,Slovakia,2,1
Albania,Estonia,0,0
Costa Rica,New Zealand,1,0
Kuwait,Jordan,0,3
Indonesia,Nepal,7,0
Palestine,Philippines,4,0
Mongolia,Yemen,2,0
Maldives,Sri Lanka,1,0
Uzbekistan,Thailand,2,0
Afghanistan,Cambodia,2,2
India,Hong Kong,4,0
Bahrain,Turkmenistan,1,0
Malaysia,Bangladesh,4,1
Myanmar,Singapore,2,6
Kyrgyzstan,Tajikistan,0,0
Jamaica,Mexico,1,1
El Salvador,United States,1,1
Haiti,Guyana,6,0
French Guiana,Belize,1,0
Bonaire,United States Virgin Islands,2,0
Turks and Caicos Islands,Sint Maarten,2,0
England,Hungary,0,4
Germany,Italy,5,2
Netherlands,Wales,3,2
Poland,Belgium,0,1
Armenia,Scotland,1,4
Ukraine,Republic of Ireland,1,1
Bosnia and Herzegovina,Finland,3,2
Romania,Montenegro,0,3
Luxembourg,Faroe Islands,2,2
Turkey,Lithuania,2,0
Moldova,Andorra,2,1
Liechtenstein,Latvia,0,2
Chile,Ghana,0,0
Japan,Tunisia,0,3
South Korea,Egypt,4,1
Mapuche,Maule Sur,0,1
Mapuche,Aymara,3,1
Aymara,Maule Sur,0,1
Seychelles,Botswana,0,1
Angola,Comoros,3,1
Mauritius,Eswatini,0,3
Lesotho,Malawi,2,1
Comoros,Botswana,0,1
Angola,Seychelles,3,0
Malawi,Eswatini,1,1
Lesotho,Mauritius,2,1
Seychelles,Comoros,1,2
Botswana,Angola,1,0
Mauritius,Malawi,0,2
Eswatini,Lesotho,2,0
Madagascar,Namibia,0,2
Zambia,Botswana,1,1
South Africa,Mozambique,0,0
Senegal,Eswatini,1,1
South Africa,Madagascar,2,1
Botswana,Eswatini,2,0
Namibia,Mozambique,1,0
Zambia,Senegal,4,3
Elba Island,Raetia,5,0
South Africa,Botswana,2,1
Mozambique,Senegal,1,1
Namibia,Zambia,0,1
Japan,Hong Kong,6,0
China,South Korea,0,3
South Korea,Hong Kong,3,0
Japan,China,0,0
China,Hong Kong,1,0
Japan,South Korea,3,0
Raetia,Tibet,3,3
Mexico,Paraguay,0,1
Fiji,New Caledonia,1,0
Solomon Islands,New Caledonia,1,0
Brunei,Maldives,0,3
Hong Kong,Myanmar,2,0
Libya,Uganda,0,0
San Marino,Seychelles,0,0
Vietnam,Singapore,4,0
Scotland,Ukraine,3,0
Australia,New Zealand,1,0
Cambodia,Bangladesh,0,1
Comoros,Tunisia,0,1
Iceland,Venezuela,1,0
Suriname,Nicaragua,2,1
Thailand,Malaysia,1,1
Trinidad and Tobago,Tajikistan,1,2
Croatia,Denmark,2,1
France,Austria,2,0
Belgium,Wales,2,1
Poland,Netherlands,0,2
Lithuania,Faroe Islands,1,1
Turkey,Luxembourg,3,3
Kazakhstan,Belarus,2,1
Slovakia,Azerbaijan,1,2
Latvia,Moldova,1,2
Liechtenstein,Andorra,0,2
Japan,United States,2,0
Algeria,Guinea,1,0
Argentina,Honduras,3,0
Bahrain,Cape Verde,1,2
Brazil,Ghana,3,0
Cameroon,Uzbekistan,0,2
Canada,Qatar,2,0
DR Congo,Burkina Faso,0,1
Egypt,Niger,3,0
Iran,Uruguay,1,0
Iraq,Oman,1,1
Jordan,Syria,2,0
South Korea,Costa Rica,2,2
Mali,Zambia,1,0
Morocco,Chile,2,0
Paraguay,United Arab Emirates,1,0
Rwanda,Equatorial Guinea,0,0
Saudi Arabia,Ecuador,0,0
Germany,Hungary,0,1
Italy,England,1,0
Bosnia and Herzegovina,Montenegro,1,0
Finland,Romania,1,1
Georgia,North Macedonia,2,0
Bulgaria,Gibraltar,5,1
Estonia,Malta,2,1
Bolivia,Senegal,0,2
Colombia,Guatemala,4,1
Fiji,Solomon Islands,2,2
Grenada,Saint Vincent and the Grenadines,1,3
Hong Kong,Myanmar,0,0
India,Singapore,1,1
Indonesia,Curaçao,3,2
Ivory Coast,Togo,2,1
Laos,Maldives,1,3
Madagascar,Congo,3,3
Mauritania,Benin,1,0
Mexico,Peru,1,0
South Africa,Sierra Leone,4,0
Tanzania,Uganda,1,0
Kyrgyzstan,Russia,1,2
Vanuatu,Papua New Guinea,0,1
Czech Republic,Portugal,0,4
Spain,Switzerland,1,2
Armenia,Ukraine,0,5
Scotland,Republic of Ireland,2,1
Israel,Albania,2,1
Slovenia,Norway,2,1
Serbia,Sweden,4,1
Northern Ireland,Kosovo,2,1
Cyprus,Greece,1,0
Thailand,Trinidad and Tobago,2,1
Malaysia,Tajikistan,0,0
New Zealand,Australia,0,2
Niger,Liberia,0,0
Austria,Croatia,1,3
Denmark,France,2,0
Wales,Poland,0,1
Netherlands,Belgium,1,0
Faroe Islands,Turkey,2,1
Luxembourg,Lithuania,1,0
Slovakia,Belarus,1,1
Azerbaijan,Kazakhstan,3,0
Andorra,Latvia,1,1
Moldova,Liechtenstein,2,0
Ethiopia,Sudan,2,2
Iraq,Syria,1,0
Jordan,Oman,1,0
England,Germany,3,3
Hungary,Italy,0,2
Montenegro,Finland,0,2
Romania,Bosnia and Herzegovina,4,1
Gibraltar,Georgia,1,2
North Macedonia,Bulgaria,0,1
San Marino,Estonia,0,4
Fiji,Papua New Guinea,0,1
Algeria,Nigeria,2,1
Argentina,Jamaica,3,0
Bahrain,Panama,0,2
Brazil,Tunisia,5,1
Brunei,Laos,1,0
Burkina Faso,Comoros,2,1
Canada,Uruguay,0,2
DR Congo,Sierra Leone,3,0
Costa Rica,Uzbekistan,2,1
Ecuador,Japan,0,0
Egypt,Liberia,3,0
Equatorial Guinea,Togo,2,2
Ghana,Nicaragua,1,0
Honduras,Guatemala,2,1
Indonesia,Curaçao,2,1
Iran,Senegal,1,1
Ivory Coast,Guinea,3,1
South Korea,Cameroon,1,0
Libya,Tanzania,2,1
Madagascar,Benin,3,1
Malta,Israel,2,1
Mauritania,Congo,2,0
Mexico,Colombia,2,3
Nepal,Bangladesh,3,1
Paraguay,Morocco,0,0
Peru,El Salvador,4,1
Qatar,Chile,2,2
Saudi Arabia,United States,0,0
South Africa,Botswana,1,0
United Arab Emirates,Venezuela,0,4
Vietnam,India,3,0
Portugal,Spain,0,1
Switzerland,Czech Republic,2,1
Republic of Ireland,Armenia,3,2
Ukraine,Scotland,0,0
Albania,Iceland,1,1
Norway,Serbia,0,2
Sweden,Slovenia,1,1
Kosovo,Cyprus,5,1
Greece,Northern Ireland,3,1
Fiji,Solomon Islands,1,0
Saint Vincent and the Grenadines,Grenada,1,5
Saudi Arabia,North Macedonia,1,0
Qatar,Guatemala,2,0
Saudi Arabia,Albania,1,1
Qatar,Honduras,1,0
Saudi Arabia,Honduras,0,0
Brunei,Timor-Leste,6,2
Saudi Arabia,Iceland,1,0
Qatar,Panama,2,1
Brunei,Timor-Leste,0,1
Albania,Qatar,0,1
Cameroon,Jamaica,1,1
Costa Rica,Nigeria,2,0
Mexico,Iraq,4,0
Iran,Nicaragua,1,0
Saudi Arabia,Panama,1,1
Bahrain,Canada,2,2
South Korea,Iceland,1,0
Iraq,Ecuador,0,0
Syria,Algeria,0,1
West Papua,Raetia,1,1
Venezuela,Panama,2,2
Albania,Italy,1,3
Algeria,Mali,1,1
Andorra,Austria,0,1
Cyprus,Bulgaria,0,2
Czech Republic,Faroe Islands,5,0
Dominican Republic,Cuba,2,4
Gibraltar,Liechtenstein,2,0
Iran,Tunisia,0,2
Ivory Coast,Burundi,4,0
Kosovo,Armenia,2,2
Mexico,Sweden,1,2
Moldova,Azerbaijan,1,2
Nepal,Pakistan,1,0
Nicaragua,El Salvador,1,0
Oman,Germany,0,1
Peru,Paraguay,1,0
Poland,Chile,1,0
Saudi Arabia,Croatia,0,1
Turkey,Scotland,2,1
United Arab Emirates,Argentina,0,5
Uzbekistan,Kazakhstan,2,0
Lithuania,Iceland,0,0
Latvia,Estonia,1,1
Angola,Botswana,1,0
Gabon,Guinea-Bissau,3,1
Israel,Zambia,4,2
Japan,Canada,1,2
Jordan,Spain,1,3
Luxembourg,Hungary,2,2
Malta,Greece,2,2
Montenegro,Slovakia,2,2
Morocco,Georgia,3,0
Niger,Libya,2,3
North Macedonia,Finland,1,1
Portugal,Nigeria,4,0
Republic of Ireland,Norway,1,2
Romania,Slovenia,1,2
Rwanda,Sudan,0,0
South Africa,Mozambique,2,1
Saint Lucia,San Marino,1,1
Switzerland,Ghana,0,2
Syria,Belarus,0,1
Tajikistan,Russia,0,0
Bahrain,Serbia,1,5
Cameroon,Panama,1,1
Dominican Republic,Cuba,1,1
Egypt,Belgium,2,1
Albania,Armenia,2,0
Colombia,Paraguay,2,0
Gibraltar,Andorra,1,0
Guatemala,Nicaragua,3,1
Ivory Coast,Burkina Faso,1,2
Kosovo,Faroe Islands,1,1
Kuwait,Lebanon,2,0
Peru,Bolivia,1,0
Rwanda,Sudan,1,0
Sweden,Algeria,2,0
Turkey,Czech Republic,2,1
United Arab Emirates,Kazakhstan,2,1
Estonia,Lithuania,2,0
Latvia,Iceland,1,1
Austria,Italy,2,0
Gambia,Guinea-Bissau,0,0
Hungary,Greece,2,1
Israel,Cyprus,2,3
Luxembourg,Bulgaria,0,0
Malta,Republic of Ireland,0,1
Moldova,Romania,0,5
Niger,Gabon,1,3
North Macedonia,Azerbaijan,1,3
Norway,Finland,1,1
Oman,Belarus,2,0
Slovakia,Chile,0,0
Slovenia,Montenegro,1,0
South Africa,Angola,1,1
Saint Lucia,San Marino,1,0
Syria,Venezuela,1,2
Uzbekistan,Russia,0,0
Qatar,Ecuador,0,2
Senegal,Netherlands,0,2
England,Iran,6,2
United States,Wales,1,1
Argentina,Saudi Arabia,1,2
Mexico,Poland,0,0
Denmark,Tunisia,0,0
France,Australia,4,1
Germany,Japan,1,2
Spain,Costa Rica,7,0
Morocco,Croatia,0,0
Belgium,Canada,1,0
Switzerland,Cameroon,1,0
Brazil,Serbia,2,0
Uruguay,South Korea,0,0
Portugal,Ghana,3,2
Qatar,Senegal,1,3
Netherlands,Ecuador,1,1
Wales,Iran,0,2
England,United States,0,0
Poland,Saudi Arabia,2,0
Argentina,Mexico,2,0
Tunisia,Australia,0,1
France,Denmark,2,1
Japan,Costa Rica,0,1
Spain,Germany,1,1
Belgium,Morocco,0,2
Croatia,Canada,4,1
Cameroon,Serbia,3,3
Brazil,Switzerland,1,0
South Korea,Ghana,2,3
Portugal,Uruguay,2,0
Ecuador,Senegal,1,2
Qatar,Netherlands,0,2
Wales,England,0,3
Iran,United States,0,1
Poland,Argentina,0,2
Saudi Arabia,Mexico,1,2
Australia,Denmark,1,0
Tunisia,France,1,0
Japan,Spain,2,1
Costa Rica,Germany,2,4
Croatia,Belgium,0,0
Canada,Morocco,1,2
Serbia,Switzerland,2,3
Cameroon,Brazil,1,0
Ghana,Uruguay,0,2
South Korea,Portugal,2,1
Netherlands,United States,3,1
Argentina,Australia,2,1
France,Poland,3,1
England,Senegal,3,0
Japan,Croatia,1,1
Brazil,South Korea,4,1
Morocco,Spain,0,0
Portugal,Switzerland,6,1
Croatia,Brazil,1,1
Netherlands,Argentina,2,2
Malaysia,Cambodia,4,0
Morocco,Portugal,1,0
England,France,1,2
Thailand,Myanmar,6,0
Argentina,Croatia,3,0
France,Morocco,2,0
Malaysia,Maldives,3,0
Thailand,Taiwan,0,1
Vietnam,Philippines,1,0
Croatia,Morocco,2,1
Singapore,Maldives,3,1
Argentina,France,3,3
Cambodia,Philippines,3,2
Brunei,Thailand,0,5
Myanmar,Malaysia,0,1
Laos,Vietnam,0,6
Oman,Syria,2,1
Philippines,Brunei,5,1
Indonesia,Cambodia,2,1
Singapore,Myanmar,3,2
Malaysia,Laos,5,0
Brunei,Indonesia,0,7
Thailand,Philippines,4,0
Laos,Singapore,0,2
Vietnam,Malaysia,3,0
Cambodia,Brunei,5,1
Indonesia,Thailand,1,1
Iraq,Kuwait,1,0
Oman,Syria,1,0
United Arab Emirates,Lebanon,1,0
Myanmar,Laos,2,2
Singapore,Vietnam,0,0
Thailand,Cambodia,3,1
Philippines,Indonesia,1,2
Vietnam,Myanmar,3,0
Malaysia,Singapore,4,1
Iraq,Oman,0,0
Yemen,Saudi Arabia,0,2
Indonesia,Vietnam,0,0
Bahrain,United Arab Emirates,2,1
Kuwait,Qatar,0,2
Malaysia,Thailand,1,0
Iceland,Estonia,1,1
Sweden,Finland,2,0
Oman,Yemen,3,2
Iraq,Saudi Arabia,2,0
Vietnam,Indonesia,2,0
United Arab Emirates,Kuwait,0,1
Qatar,Bahrain,1,2
Thailand,Malaysia,3,0
Finland,Estonia,0,1
Sweden,Iceland,2,1
Iraq,Yemen,5,0
Saudi Arabia,Oman,1,2
Bahrain,Kuwait,1,1
Qatar,United Arab Emirates,1,1
Vietnam,Thailand,2,2
Iraq,Qatar,2,1
Bahrain,Oman,0,1
Thailand,Vietnam,1,0
Iraq,Oman,3,2
United States,Serbia,1,2
United States,Colombia,0,0
Grenada,Barbados,1,1
Grenada,Barbados,2,2
Grenada,Saint Lucia,1,2
Saint Barthélemy,Sint Maarten,5,1
Grenada,Saint Lucia,2,0
Saint Martin,Saint Barthélemy,3,2
Jamaica,Trinidad and Tobago,0,1
Guatemala,Panama,1,1
Jamaica,Trinidad and Tobago,0,0
Bangladesh,Malawi,1,1
Ethiopia,Rwanda,1,0
Fiji,Vanuatu,1,2
Maldives,Pakistan,1,0
Tahiti,New Caledonia,0,2
Honduras,El Salvador,1,0
India,Myanmar,1,0
Nepal,Laos,2,0
Republic of Ireland,Latvia,3,2
Sierra Leone,São Tomé and Príncipe,2,2
Benin,Rwanda,1,1
Argentina,Panama,2,0
Hong Kong,Singapore,1,1
Hungary,Estonia,1,0
Iran,Russia,1,1
Malaysia,Turkmenistan,1,0
New Zealand,China,0,0
Solomon Islands,Vanuatu,2,0
Madagascar,Central African Republic,0,3
Ghana,Angola,1,0
Algeria,Niger,2,1
Congo,South Sudan,1,2
Zambia,Lesotho,3,1
Gabon,Sudan,1,0
Italy,England,1,2
North Macedonia,Malta,2,1
Denmark,Finland,3,1
San Marino,Northern Ireland,0,2
Kazakhstan,Slovenia,1,2
Portugal,Liechtenstein,4,0
Bosnia and Herzegovina,Iceland,3,0
Slovakia,Luxembourg,0,0
Suriname,Mexico,0,2
Barbados,Cuba,0,1
Guadeloupe,Antigua and Barbuda,0,1
French Guiana,Dominican Republic,1,1
Saint Martin,Saint Kitts and Nevis,1,3
British Virgin Islands,Puerto Rico,1,3
Australia,Ecuador,3,1
Japan,Uruguay,1,1
South Korea,Colombia,2,2
Kuwait,Philippines,2,0
Saudi Arabia,Venezuela,1,2
Tahiti,New Caledonia,2,1
Uzbekistan,Bolivia,1,0
Nigeria,Guinea-Bissau,0,1
Cape Verde,Eswatini,0,0
Burkina Faso,Togo,1,0
Cameroon,Namibia,1,1
Guinea,Ethiopia,2,0
Egypt,Malawi,2,0
Uganda,Tanzania,0,1
Mali,Gambia,2,0
Ivory Coast,Comoros,3,1
DR Congo,Mauritania,3,1
Equatorial Guinea,Botswana,2,0
Tunisia,Libya,3,0
South Africa,Liberia,2,2
Senegal,Mozambique,5,1
Gibraltar,Greece,0,3
France,Netherlands,4,0
Czech Republic,Poland,3,1
Moldova,Faroe Islands,1,1
Austria,Azerbaijan,4,1
Sweden,Belgium,0,3
Bulgaria,Montenegro,0,1
Serbia,Lithuania,2,0
Grenada,United States,1,7
Bahamas,Trinidad and Tobago,0,3
Nicaragua,Saint Vincent and the Grenadines,4,1
Belize,Guatemala,1,2
Anguilla,Saint Lucia,1,2
Bahrain,Palestine,1,2
Bangladesh,Seychelles,1,0
Bhutan,Laos,1,2
Georgia,Mongolia,6,1
Germany,Peru,2,0
Indonesia,Burundi,3,1
Morocco,Brazil,2,1
Myanmar,Kyrgyzstan,1,1
Thailand,Syria,1,3
United Arab Emirates,Tajikistan,0,0
Scotland,Cyprus,3,0
Spain,Norway,3,0
Croatia,Wales,1,1
Armenia,Turkey,1,2
Belarus,Switzerland,0,5
Israel,Kosovo,1,1
Andorra,Romania,0,2
Martinique,Costa Rica,1,2
Curaçao,Canada,0,2
Bermuda,Guyana,0,2
Montserrat,Haiti,0,4
Sint Maarten,Bonaire,6,1
Turks and Caicos Islands,United States Virgin Islands,1,0
Fiji,Solomon Islands,0,2
Macau,Singapore,0,1
New Zealand,China,2,1
Russia,Iraq,2,0
São Tomé and Príncipe,Sierra Leone,0,2
Lesotho,Zambia,0,2
England,Ukraine,2,0
Malta,Italy,0,2
Slovenia,San Marino,2,0
Kazakhstan,Denmark,3,2
Northern Ireland,Finland,0,1
Liechtenstein,Iceland,0,7
Luxembourg,Portugal,0,6
Slovakia,Bosnia and Herzegovina,2,0
Mexico,Jamaica,2,2
Antigua and Barbuda,Barbados,1,2
Cuba,Guadeloupe,1,0
Puerto Rico,Cayman Islands,5,1
Chile,Paraguay,3,2
Greece,Lithuania,0,0
North Macedonia,Faroe Islands,1,0
Oman,Lebanon,2,0
Guinea-Bissau,Nigeria,0,1
Ethiopia,Guinea,2,3
Central African Republic,Madagascar,2,0
Angola,Ghana,1,1
Niger,Algeria,0,1
South Sudan,Congo,0,1
Sudan,Gabon,1,0
Republic of Ireland,France,0,1
Netherlands,Gibraltar,3,0
Poland,Albania,1,0
Moldova,Czech Republic,0,0
Austria,Estonia,2,1
Sweden,Azerbaijan,5,0
Hungary,Bulgaria,3,0
Montenegro,Serbia,0,2
United States,El Salvador,1,0
Saint Vincent and the Grenadines,Bahamas,1,1
Trinidad and Tobago,Nicaragua,1,1
Dominican Republic,Belize,2,0
Guatemala,French Guiana,4,0
Saint Kitts and Nevis,Aruba,2,0
Saint Lucia,Dominica,3,1
Argentina,Curaçao,7,0
Armenia,Cyprus,2,2
Australia,Ecuador,1,2
Bahrain,Syria,1,0
Bangladesh,Seychelles,0,1
Germany,Belgium,2,3
India,Kyrgyzstan,2,0
Indonesia,Burundi,2,2
Iran,Kenya,2,1
Japan,Colombia,1,2
Jordan,Philippines,4,0
South Korea,Uruguay,1,2
Kuwait,Tajikistan,2,1
Malaysia,Hong Kong,2,0
Morocco,Peru,0,0
Nepal,Bhutan,1,1
Saudi Arabia,Bolivia,1,2
United Arab Emirates,Thailand,2,0
Uzbekistan,Venezuela,1,1
Eswatini,Cape Verde,0,1
Togo,Burkina Faso,1,1
Namibia,Cameroon,2,1
Malawi,Egypt,0,4
Tanzania,Uganda,0,1
Gambia,Mali,1,0
Comoros,Ivory Coast,0,2
Mauritania,DR Congo,1,1
Botswana,Equatorial Guinea,2,3
Libya,Tunisia,0,1
Liberia,South Africa,1,2
Mozambique,Senegal,0,1
Scotland,Spain,2,0
Georgia,Norway,1,1
Wales,Latvia,1,0
Turkey,Croatia,0,2
Kosovo,Andorra,1,1
Switzerland,Israel,3,0
Romania,Belarus,2,1
Costa Rica,Panama,0,1
Canada,Honduras,4,1
Haiti,Bermuda,3,1
Guyana,Montserrat,0,0
Bonaire,Turks and Caicos Islands,1,2
United States Virgin Islands,Sint Maarten,1,2
Rwanda,Benin,1,1
Nepal,Laos,2,1
United States,Mexico,1,1
Mexico,Guatemala,2,0
Luxembourg,Malta,0,1
Mexico,Cameroon,2,2
Panama,Nicaragua,3,2
Chile,Cuba,3,0
Guatemala,Trinidad and Tobago,0,1
Tajikistan,Turkmenistan,1,1
Uzbekistan,Oman,3,0
Mauritius,Pakistan,3,0
Germany,Ukraine,3,3
Morocco,Cape Verde,0,0
Iran,Afghanistan,6,1
Curaçao,Costa Rica,0,0
DR Congo,Uganda,1,0
Indonesia,Palestine,0,0
Malaysia,Solomon Islands,4,1
Mozambique,Malawi,1,1
Togo,Lesotho,2,0
Uruguay,Nicaragua,4,1
Netherlands,Croatia,2,4
Oman,Tajikistan,1,1
Uzbekistan,Turkmenistan,2,0
Pakistan,Kenya,0,1
Mauritius,Djibouti,1,3
Guinea-Bissau,São Tomé and Príncipe,1,0
Guinea,Egypt,1,2
South Sudan,Gambia,2,3
Panama,Canada,0,2
United States,Mexico,3,0
Argentina,Australia,2,0
Cambodia,Bangladesh,0,1
Costa Rica,Guatemala,0,1
Honduras,Venezuela,0,1
Jamaica,Qatar,1,2
Japan,El Salvador,6,0
Philippines,Nepal,1,0
Vietnam,Hong Kong,1,0
Spain,Italy,2,1
Antigua and Barbuda,Guadeloupe,0,5
Martinique,Saint Lucia,3,1
Curaçao,Saint Kitts and Nevis,1,1
Chile,Dominican Republic,5,0
China,Myanmar,4,0
Taiwan,Thailand,2,2
Colombia,Iraq,1,0
South Korea,Peru,0,1
Poland,Germany,1,0
Serbia,Jordan,3,2
Singapore,Papua New Guinea,2,2
Sweden,New Zealand,4,1
Gibraltar,France,0,3
Greece,Republic of Ireland,2,1
Malta,England,0,4
North Macedonia,Ukraine,2,3
Wales,Armenia,2,4
Latvia,Turkey,2,3
Finland,Slovenia,2,0
Denmark,Northern Ireland,1,0
San Marino,Kazakhstan,0,3
Andorra,Switzerland,1,2
Belarus,Israel,1,2
Kosovo,Romania,0,0
Kyrgyzstan,Iran,1,5
Guyana,Grenada,1,1
Suriname,Puerto Rico,0,0
French Guiana,Sint Maarten,4,1
Brazil,Guinea,4,1
Ecuador,Bolivia,1,0
Norway,Scotland,1,2
Cyprus,Georgia,1,2
Faroe Islands,Czech Republic,0,3
Albania,Moldova,2,0
Azerbaijan,Estonia,1,1
Belgium,Austria,1,1
Lithuania,Bulgaria,1,1
Montenegro,Hungary,0,0
Luxembourg,Liechtenstein,2,0
Iceland,Slovakia,1,2
Portugal,Bosnia and Herzegovina,3,0
Ticino,Raetia,1,8
Turkmenistan,Oman,0,2
